dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
WormsTwoClass,global_mean,lime_rocket,rocket,0,0.8181818181818182
WormsTwoClass,global_mean,lime_rocket,rocket,10,0.5064935064935064
WormsTwoClass,global_mean,lime_rocket,rocket,20,0.5714285714285714
WormsTwoClass,global_mean,lime_rocket,rocket,30,0.5584415584415584
WormsTwoClass,global_mean,lime_rocket,rocket,40,0.5194805194805194
WormsTwoClass,global_mean,lime_rocket,rocket,50,0.4675324675324675
WormsTwoClass,global_mean,lime_rocket,rocket,60,0.4805194805194805
WormsTwoClass,global_mean,lime_rocket,rocket,70,0.4155844155844156
WormsTwoClass,global_mean,lime_rocket,rocket,80,0.4025974025974026
WormsTwoClass,global_mean,lime_rocket,rocket,90,0.44155844155844154
WormsTwoClass,global_mean,lime_rocket,rocket,100,0.42857142857142855
WormsTwoClass,local_mean,lime_rocket,rocket,0,0.8181818181818182
WormsTwoClass,local_mean,lime_rocket,rocket,10,0.5454545454545454
WormsTwoClass,local_mean,lime_rocket,rocket,20,0.6363636363636364
WormsTwoClass,local_mean,lime_rocket,rocket,30,0.6103896103896104
WormsTwoClass,local_mean,lime_rocket,rocket,40,0.5324675324675324
WormsTwoClass,local_mean,lime_rocket,rocket,50,0.4805194805194805
WormsTwoClass,local_mean,lime_rocket,rocket,60,0.5324675324675324
WormsTwoClass,local_mean,lime_rocket,rocket,70,0.4935064935064935
WormsTwoClass,local_mean,lime_rocket,rocket,80,0.44155844155844154
WormsTwoClass,local_mean,lime_rocket,rocket,90,0.42857142857142855
WormsTwoClass,local_mean,lime_rocket,rocket,100,0.42857142857142855
WormsTwoClass,global_mean,lime_rocket,resnet,0,0.7272727272727273
WormsTwoClass,global_mean,lime_rocket,resnet,10,0.6103896103896104
WormsTwoClass,global_mean,lime_rocket,resnet,20,0.6103896103896104
WormsTwoClass,global_mean,lime_rocket,resnet,30,0.5974025974025974
WormsTwoClass,global_mean,lime_rocket,resnet,40,0.6103896103896104
WormsTwoClass,global_mean,lime_rocket,resnet,50,0.5584415584415584
WormsTwoClass,global_mean,lime_rocket,resnet,60,0.4935064935064935
WormsTwoClass,global_mean,lime_rocket,resnet,70,0.5454545454545454
WormsTwoClass,global_mean,lime_rocket,resnet,80,0.5194805194805194
WormsTwoClass,global_mean,lime_rocket,resnet,90,0.5974025974025974
WormsTwoClass,global_mean,lime_rocket,resnet,100,0.5714285714285714
WormsTwoClass,local_mean,lime_rocket,resnet,0,0.7272727272727273
WormsTwoClass,local_mean,lime_rocket,resnet,10,0.6103896103896104
WormsTwoClass,local_mean,lime_rocket,resnet,20,0.6103896103896104
WormsTwoClass,local_mean,lime_rocket,resnet,30,0.6233766233766234
WormsTwoClass,local_mean,lime_rocket,resnet,40,0.6493506493506493
WormsTwoClass,local_mean,lime_rocket,resnet,50,0.5844155844155844
WormsTwoClass,local_mean,lime_rocket,resnet,60,0.4935064935064935
WormsTwoClass,local_mean,lime_rocket,resnet,70,0.5584415584415584
WormsTwoClass,local_mean,lime_rocket,resnet,80,0.5324675324675324
WormsTwoClass,local_mean,lime_rocket,resnet,90,0.5714285714285714
WormsTwoClass,local_mean,lime_rocket,resnet,100,0.5714285714285714
WormsTwoClass,global_mean,lime_rocket,knn,0,0.6103896103896104
WormsTwoClass,global_mean,lime_rocket,knn,10,0.6623376623376623
WormsTwoClass,global_mean,lime_rocket,knn,20,0.6623376623376623
WormsTwoClass,global_mean,lime_rocket,knn,30,0.5974025974025974
WormsTwoClass,global_mean,lime_rocket,knn,40,0.6103896103896104
WormsTwoClass,global_mean,lime_rocket,knn,50,0.6363636363636364
WormsTwoClass,global_mean,lime_rocket,knn,60,0.6493506493506493
WormsTwoClass,global_mean,lime_rocket,knn,70,0.6233766233766234
WormsTwoClass,global_mean,lime_rocket,knn,80,0.44155844155844154
WormsTwoClass,global_mean,lime_rocket,knn,90,0.5064935064935064
WormsTwoClass,global_mean,lime_rocket,knn,100,0.42857142857142855
WormsTwoClass,local_mean,lime_rocket,knn,0,0.6103896103896104
WormsTwoClass,local_mean,lime_rocket,knn,10,0.6623376623376623
WormsTwoClass,local_mean,lime_rocket,knn,20,0.6493506493506493
WormsTwoClass,local_mean,lime_rocket,knn,30,0.5714285714285714
WormsTwoClass,local_mean,lime_rocket,knn,40,0.6233766233766234
WormsTwoClass,local_mean,lime_rocket,knn,50,0.6363636363636364
WormsTwoClass,local_mean,lime_rocket,knn,60,0.6363636363636364
WormsTwoClass,local_mean,lime_rocket,knn,70,0.6493506493506493
WormsTwoClass,local_mean,lime_rocket,knn,80,0.5194805194805194
WormsTwoClass,local_mean,lime_rocket,knn,90,0.4805194805194805
WormsTwoClass,local_mean,lime_rocket,knn,100,0.42857142857142855
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,0,0.8051948051948052
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,10,0.7792207792207793
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,20,0.7142857142857143
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,30,0.6493506493506493
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,40,0.6623376623376623
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,50,0.6623376623376623
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,60,0.6493506493506493
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,70,0.5844155844155844
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,80,0.5714285714285714
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,90,0.5714285714285714
WormsTwoClass,global_mean,lime_rocket,MrSEQLClassifier,100,0.5714285714285714
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,0,0.8051948051948052
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,10,0.7532467532467533
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,20,0.6623376623376623
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,30,0.6103896103896104
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,40,0.6753246753246753
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,50,0.5584415584415584
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,60,0.5064935064935064
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,70,0.4935064935064935
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,80,0.5454545454545454
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,90,0.4935064935064935
WormsTwoClass,local_mean,lime_rocket,MrSEQLClassifier,100,0.42857142857142855
